Airline,Airline ID,Source Airport IATA,Destination Airport IATA,Source City,Source Country,Destination City,Destination Country,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance,Estimated Cost
2L,2750,BDS,ZRH,Brindisi,Italy,Zurich,Switzerland,40.6576,17.947001,47.464699,8.54917,1064.7408432924565,260
2L,2750,BOD,ZRH,Bordeaux,France,Zurich,Switzerland,44.8283004761,-0.7155560255050001,47.464699,8.54917,770.9701783806116,180
2L,2750,BRS,ZRH,Bristol,United Kingdom,Zurich,Switzerland,51.382702,-2.71909,47.464699,8.54917,922.76106972617,210
2L,2750,ZRH,BDS,Zurich,Switzerland,Brindisi,Italy,47.464699,8.54917,40.6576,17.947001,1064.7408432924565,260
2L,2750,ZRH,BOD,Zurich,Switzerland,Bordeaux,France,47.464699,8.54917,44.8283004761,-0.7155560255050001,770.9701783806116,180
2L,2750,ZRH,BRS,Zurich,Switzerland,Bristol,United Kingdom,47.464699,8.54917,51.382702,-2.71909,922.76106972617,210
2N,3652,AJR,LYC,Arvidsjaur,Sweden,Lycksele,Sweden,65.59030151367189,19.28190040588379,64.54830169677734,18.71619987487793,118.85904094007392,48
2N,3652,ARN,GEV,Stockholm,Sweden,Gallivare,Sweden,59.65190124511699,17.918600082397,67.13240051269531,20.814599990844727,843.9758148468123,194
2N,3652,ARN,HAD,Stockholm,Sweden,Halmstad,Sweden,59.65190124511699,17.918600082397,56.69110107421875,12.820199966430664,444.4784372618791,110
2N,3652,ARN,JKG,Stockholm,Sweden,Joenkoeping,Sweden,59.65190124511699,17.918600082397,57.75759887695313,14.068699836730955,306.20541977348506,84
2N,3652,ARN,KRF,Stockholm,Sweden,Kramfors,Sweden,59.65190124511699,17.918600082397,63.04859924316406,17.76889991760254,377.7796235183274,97
2N,3652,ARN,KSD,Stockholm,Sweden,Karlstad,Sweden,59.65190124511699,17.918600082397,59.4446983337,13.3374004364,259.14683110204675,75
2N,3652,ARN,LYC,Stockholm,Sweden,Lycksele,Sweden,59.65190124511699,17.918600082397,64.54830169677734,18.71619987487793,546.0229776499898,129
2N,3652,ARN,MHQ,Stockholm,Sweden,Mariehamn,Finland,59.65190124511699,17.918600082397,60.122200012207,19.898199081421,122.18564500712132,49
2N,3652,ARN,OER,Stockholm,Sweden,Ornskoldsvik,Sweden,59.65190124511699,17.918600082397,63.40829849243164,18.989999771118164,421.5199429806096,106
2N,3652,ARN,POR,Stockholm,Sweden,Pori,Finland,59.65190124511699,17.918600082397,61.46170043945301,21.799999237061,292.32656992518366,81
2N,3652,ARN,TRF,Stockholm,Sweden,Sandefjord,Norway,59.65190124511699,17.918600082397,59.1866989136,10.258600235,436.15828742943165,108
2N,3652,ARN,VBY,Stockholm,Sweden,Visby,Sweden,59.65190124511699,17.918600082397,57.662799835205,18.346200942993,222.55517159028344,68
2N,3652,ARN,VHM,Stockholm,Sweden,Vilhelmina,Sweden,59.65190124511699,17.918600082397,64.5791015625,16.833599090576172,550.7566446512778,130
2N,3652,ARN,VXO,Stockholm,Sweden,Vaxjo,Sweden,59.65190124511699,17.918600082397,56.929100036621094,14.727999687194824,355.49050697254825,93
2N,3652,GEV,ARN,Gallivare,Sweden,Stockholm,Sweden,67.13240051269531,20.814599990844727,59.65190124511699,17.918600082397,843.9758148468123,194
2N,3652,GEV,KRF,Gallivare,Sweden,Kramfors,Sweden,67.13240051269531,20.814599990844727,63.04859924316406,17.76889991760254,475.83525850542134,116
2N,3652,HAD,ARN,Halmstad,Sweden,Stockholm,Sweden,56.69110107421875,12.820199966430664,59.65190124511699,17.918600082397,444.4784372618791,110
2N,3652,HAD,JKG,Halmstad,Sweden,Joenkoeping,Sweden,56.69110107421875,12.820199966430664,57.75759887695313,14.068699836730955,140.392359401131,52
2N,3652,HAD,VXO,Halmstad,Sweden,Vaxjo,Sweden,56.69110107421875,12.820199966430664,56.929100036621094,14.727999687194824,119.10046954751851,48
2N,3652,HMV,VHM,Hemavan,Sweden,Vilhelmina,Sweden,65.80609893798828,15.082799911499023,64.5791015625,16.833599090576172,159.00438759313695,56
2N,3652,JKG,ARN,Joenkoeping,Sweden,Stockholm,Sweden,57.75759887695313,14.068699836730955,59.65190124511699,17.918600082397,306.20541977348506,84
2N,3652,JKG,HAD,Joenkoeping,Sweden,Halmstad,Sweden,57.75759887695313,14.068699836730955,56.69110107421875,12.820199966430664,140.392359401131,52
2N,3652,KOK,POR,Kruunupyy,Finland,Pori,Finland,63.721199035645,23.143100738525,61.46170043945301,21.799999237061,260.4663541282297,75
2N,3652,KRF,ARN,Kramfors,Sweden,Stockholm,Sweden,63.04859924316406,17.76889991760254,59.65190124511699,17.918600082397,377.7796235183274,97
2N,3652,KRF,GEV,Kramfors,Sweden,Gallivare,Sweden,63.04859924316406,17.76889991760254,67.13240051269531,20.814599990844727,475.83525850542134,116
2N,3652,KSD,ARN,Karlstad,Sweden,Stockholm,Sweden,59.4446983337,13.3374004364,59.65190124511699,17.918600082397,259.14683110204675,75
2N,3652,LYC,AJR,Lycksele,Sweden,Arvidsjaur,Sweden,64.54830169677734,18.71619987487793,65.59030151367189,19.28190040588379,118.85904094007392,48
2N,3652,LYC,ARN,Lycksele,Sweden,Stockholm,Sweden,64.54830169677734,18.71619987487793,59.65190124511699,17.918600082397,546.0229776499898,129
2N,3652,MHQ,ARN,Mariehamn,Finland,Stockholm,Sweden,60.122200012207,19.898199081421,59.65190124511699,17.918600082397,122.18564500712132,49
2N,3652,MHQ,TKU,Mariehamn,Finland,Turku,Finland,60.122200012207,19.898199081421,60.514099121094,22.262800216675,137.28935130200296,52
2N,3652,OER,ARN,Ornskoldsvik,Sweden,Stockholm,Sweden,63.40829849243164,18.989999771118164,59.65190124511699,17.918600082397,421.5199429806096,106
2N,3652,OSL,VXO,Oslo,Norway,Vaxjo,Sweden,60.121,11.0502,56.929100036621094,14.727999687194824,414.0599300188711,104
2N,3652,POR,ARN,Pori,Finland,Stockholm,Sweden,61.46170043945301,21.799999237061,59.65190124511699,17.918600082397,292.32656992518366,81
2N,3652,POR,KOK,Pori,Finland,Kruunupyy,Finland,61.46170043945301,21.799999237061,63.721199035645,23.143100738525,260.4663541282297,75
2N,3652,TKU,MHQ,Turku,Finland,Mariehamn,Finland,60.514099121094,22.262800216675,60.122200012207,19.898199081421,137.28935130200296,52
2N,3652,TRF,ARN,Sandefjord,Norway,Stockholm,Sweden,59.1866989136,10.258600235,59.65190124511699,17.918600082397,436.15828742943165,108
2N,3652,VBY,ARN,Visby,Sweden,Stockholm,Sweden,57.662799835205,18.346200942993,59.65190124511699,17.918600082397,222.55517159028344,68
2N,3652,VHM,ARN,Vilhelmina,Sweden,Stockholm,Sweden,64.5791015625,16.833599090576172,59.65190124511699,17.918600082397,550.7566446512778,130
2N,3652,VHM,HMV,Vilhelmina,Sweden,Hemavan,Sweden,64.5791015625,16.833599090576172,65.80609893798828,15.082799911499023,159.00438759313695,56
2N,3652,VXO,ARN,Vaxjo,Sweden,Stockholm,Sweden,56.929100036621094,14.727999687194824,59.65190124511699,17.918600082397,355.49050697254825,93
2N,3652,VXO,OSL,Vaxjo,Sweden,Oslo,Norway,56.929100036621094,14.727999687194824,60.121,11.0502,414.0599300188711,104
3L,2916,ACH,EBA,Altenrhein,Switzerland,Marina Di Campo,Italy,47.4850006104,9.560770034789998,42.7603,10.2394,528.0477740811091,126
3L,2916,DRS,ZRH,Dresden,Germany,Zurich,Switzerland,51.1328010559082,13.767200469970703,47.464699,8.54917,556.0760974015303,131
3L,2916,DUS,FDH,Duesseldorf,Germany,Friedrichshafen,Germany,51.289501,6.766780000000001,47.671298980699994,9.511489868160002,448.4569213226282,111
3L,2916,EBA,ACH,Marina Di Campo,Italy,Altenrhein,Switzerland,42.7603,10.2394,47.4850006104,9.560770034789998,528.0477740811091,126
3L,2916,EBA,FDH,Marina Di Campo,Italy,Friedrichshafen,Germany,42.7603,10.2394,47.671298980699994,9.511489868160002,549.0393898748847,130
3L,2916,EBA,MUC,Marina Di Campo,Italy,Munich,Germany,42.7603,10.2394,48.353802,11.7861,633.4820175620449,152
3L,2916,EBA,ZRH,Marina Di Campo,Italy,Zurich,Switzerland,42.7603,10.2394,47.464699,8.54917,539.621197131775,128
3L,2916,FDH,DUS,Friedrichshafen,Germany,Duesseldorf,Germany,47.671298980699994,9.511489868160002,51.289501,6.766780000000001,448.4569213226282,111
3L,2916,FDH,EBA,Friedrichshafen,Germany,Marina Di Campo,Italy,47.671298980699994,9.511489868160002,42.7603,10.2394,549.0393898748847,130
3L,2916,FDH,HAM,Friedrichshafen,Germany,Hamburg,Germany,47.671298980699994,9.511489868160002,53.630401611328,9.988229751586902,663.4696987641304,158
3L,2916,FDH,OLB,Friedrichshafen,Germany,Olbia,Italy,47.671298980699994,9.511489868160002,40.898701,9.51763,753.0786935544605,176
3L,2916,FDH,TXL,Friedrichshafen,Germany,Berlin,Germany,47.671298980699994,9.511489868160002,52.5597,13.2877,606.3933738980058,147
3L,2916,FDH,ZAD,Friedrichshafen,Germany,Zadar,Croatia,47.671298980699994,9.511489868160002,44.108299,15.3467,600.4676451795789,146
3L,2916,FMM,NAP,Memmingen,Germany,Naples,Italy,47.9888000488,10.2395000458,40.886002000000005,14.2908,852.4672741359705,196
3L,2916,GRZ,ZRH,Graz,Austria,Zurich,Switzerland,46.9911003112793,15.439599990844728,47.464699,8.54917,522.7845543929949,125
3L,2916,HAM,FDH,Hamburg,Germany,Friedrichshafen,Germany,53.630401611328,9.988229751586902,47.671298980699994,9.511489868160002,663.4696987641304,158
3L,2916,MUC,EBA,Munich,Germany,Marina Di Campo,Italy,48.353802,11.7861,42.7603,10.2394,633.4820175620449,152
3L,2916,NAP,FMM,Naples,Italy,Memmingen,Germany,40.886002000000005,14.2908,47.9888000488,10.2395000458,852.4672741359705,196
3L,2916,OLB,FDH,Olbia,Italy,Friedrichshafen,Germany,40.898701,9.51763,47.671298980699994,9.511489868160002,753.0786935544605,176
3L,2916,SZG,ZRH,Salzburg,Austria,Zurich,Switzerland,47.7933006287,13.0043001175,47.464699,8.54917,335.80182354772097,89
3L,2916,TXL,FDH,Berlin,Germany,Friedrichshafen,Germany,52.5597,13.2877,47.671298980699994,9.511489868160002,606.3933738980058,147
3L,2916,ZAD,FDH,Zadar,Croatia,Friedrichshafen,Germany,44.108299,15.3467,47.671298980699994,9.511489868160002,600.4676451795789,146
3L,2916,ZRH,DRS,Zurich,Switzerland,Dresden,Germany,47.464699,8.54917,51.1328010559082,13.767200469970703,556.0760974015303,131
3L,2916,ZRH,EBA,Zurich,Switzerland,Marina Di Campo,Italy,47.464699,8.54917,42.7603,10.2394,539.621197131775,128
3L,2916,ZRH,GRZ,Zurich,Switzerland,Graz,Austria,47.464699,8.54917,46.9911003112793,15.439599990844728,522.7845543929949,125
3L,2916,ZRH,SZG,Zurich,Switzerland,Salzburg,Austria,47.464699,8.54917,47.7933006287,13.0043001175,335.80182354772097,89
4T,1401,AYT,ZRH,Antalya,Turkey,Zurich,Switzerland,36.898701,30.800501,47.464699,8.54917,2165.571145859899,567
